식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
오이냉국,국 및 탕류,19,94.4,0.5,0.09,1.1,3.92,3.48,16.0,68.0,328,0.17,0.02,0.0,,,,,100g,한식
올갱이국,국 및 탕류,24,93.4,2.28,0.7,1.48,2.17,0.27,65.0,100.0,336,14.23,0.13,0.0,0.12,0.0,0.0,0.15,600g,한식
전복탕,국 및 탕류,33,91.3,4.47,0.5,1.08,2.63,0.22,27.0,109.0,296,48.56,0.1,0.0,0.13,0.0,0.0,0.08,600g,한식
초당순두부,국 및 탕류,58,88.8,5.46,3.24,0.77,1.76,0.1,37.0,116.0,134,0.0,0.42,0.0,0.1,0.0,0.0,0.0,900g,한식
황태해장국,국 및 탕류,30,93.0,4.08,1.13,0.88,0.95,0.25,27.0,84.0,256,25.05,0.18,0.0,0.15,0.0,0.02,0.08,600g,한식
무국물,국 및 탕류,3,99.2,0.16,0.0,0.08,0.55,0.36,2.0,16.0,2,0.0,0.0,0.0,,,,,,한식
고등어찌개,찌개 및 전골류,100,80.2,8.15,5.62,1.77,4.27,1.23,44.0,253.0,431,26.01,1.18,0.05,0.52,0.0,0.1,0.23,600g,한식
김치찌개,찌개 및 전골류,61,87.9,3.77,3.75,1.64,2.98,0.76,38.0,160.0,491,6.29,0.69,0.01,0.27,0.0,0.13,0.37,400g,한식
꽁치찌개,찌개 및 전골류,118,78.4,8.0,7.77,1.77,4.07,1.97,73.0,225.0,432,21.11,1.63,0.97,0.63,0.0,0.27,0.57,300g,한식
두부전골,찌개 및 전골류,63,86.8,5.12,3.22,1.46,3.42,0.7,82.0,144.0,330,1.77,0.48,0.0,0.34,0.0,0.1,0.18,500g,한식
마라탕,찌개 및 전골류,66,86.4,3.91,3.27,1.28,5.1,0.26,21.0,98.0,358,4.99,0.6,0.01,,,,,100g,한식
만두전골,찌개 및 전골류,57,87.7,3.61,2.23,0.89,5.55,0.7,36.0,144.0,250,5.84,0.55,0.01,,,,,100g,한식
버섯찌개,찌개 및 전골류,42,90.0,3.68,1.3,1.18,3.85,1.1,18.0,164.0,323,4.14,0.33,0.03,0.28,0.0,0.08,0.25,400g,한식
해물탕,찌개 및 전골류,45,88.4,6.63,0.78,1.42,2.77,0.13,82.0,157.0,341,78.25,0.13,0.0,0.07,0.0,0.0,0.05,600g,한식
해신탕,찌개 및 전골류,57,87.3,7.93,1.88,0.82,2.03,0.41,28.0,159.0,266,51.03,0.38,0.0,,,,,100g,한식
호박찌개,찌개 및 전골류,32,92.0,1.87,0.87,1.23,4.07,1.93,28.0,157.0,341,3.09,0.13,0.0,0.83,0.0,0.27,0.8,300g,한식
꼬막무침,찜류,107,77.3,8.34,4.72,1.98,7.69,4.28,83.0,191.0,516,29.88,0.64,0.03,,,,,100g,한식
대구찜,찜류,75,81.4,10.34,1.58,1.76,4.94,1.14,85.0,239.0,380,52.66,0.22,0.0,0.48,0.0,0.06,0.26,500g,한식
동태찜,찜류,79,81.0,10.18,1.94,1.76,5.16,1.14,74.0,238.0,397,56.84,0.32,0.02,0.56,0.0,0.18,0.24,500g,한식
동파육,찜류,191,70.3,8.99,15.41,1.17,4.15,0.74,27.0,148.0,299,31.6,4.4,0.1,,,,,100g,한식
돼지등갈비찜,찜류,214,58.3,16.02,10.93,1.96,12.76,5.36,36.0,247.0,532,44.35,3.58,0.07,1.71,0.0,1.53,0.98,450g,한식
북어찜,찜류,157,63.1,18.73,3.8,2.47,12.0,4.27,114.0,257.0,601,102.07,0.6,0.07,0.4,0.0,0.27,0.53,150g,한식
붕어찜,찜류,76,83.6,4.94,3.35,1.62,6.51,1.47,89.0,191.0,359,16.93,0.53,0.03,0.55,0.0,0.01,0.67,1100g,한식
오징어순대,찜류,133,67.2,13.06,1.6,1.49,16.66,0.11,22.0,199.0,360,147.84,0.4,0.0,0.11,0.0,0.0,0.0,350g,한식
조기찜,찜류,182,65.0,20.06,10.59,2.69,1.64,0.0,121.0,262.0,602,138.43,2.85,0.08,0.0,0.0,0.0,0.0,100g,한식
해물찜,찜류,80,80.6,8.52,1.96,1.88,7.08,1.1,113.0,225.0,427,83.83,0.3,0.0,0.42,0.0,0.04,0.2,500g,한식
꿩불고기,구이류,74,82.5,6.7,1.7,1.16,7.94,3.38,21.0,249.0,253,21.24,0.38,0.02,0.56,0.14,1.44,0.56,500g,한식
더덕구이,구이류,184,58.1,3.1,5.2,2.5,31.1,11.6,46.0,262.0,743,0.12,0.8,0.0,1.5,0.0,2.2,2.7,100g,한식
돼지껍데기구이,구이류,348,44.8,23.74,26.64,1.44,3.37,3.42,7.0,61.0,475,35.76,9.08,0.58,,,,,100g,한식
연어구이,구이류,234,58.5,24.78,14.94,1.57,0.2,0.55,14.0,397.0,158,44.98,2.17,0.08,,,,,100g,한식
임연수구이,구이류,198,62.5,21.52,11.76,2.84,1.4,0.0,107.0,384.0,628,85.04,2.44,0.68,0.0,0.0,0.0,0.0,250g,한식
콘치즈구이,구이류,224,58.3,9.51,12.85,1.77,17.56,7.31,266.0,136.0,313,22.06,4.5,0.11,,,,,100g,한식
황태구이,구이류,219,52.3,23.9,7.7,2.65,13.45,7.1,140.0,311.0,568,105.79,1.2,0.05,1.15,0.0,1.15,1.45,200g,한식
훈제오리,구이류,319,50.6,17.22,25.63,1.73,4.83,0.11,15.0,199.0,488,68.4,6.39,0.16,0.1,0.0,0.01,0.0,250g,한식
고추전,전·적 및 부침류,183,67.4,8.61,11.48,1.18,11.34,1.45,44.0,207.0,241,52.54,2.35,0.06,0.4,0.0,0.0,0.13,150g,한식
굴전,전·적 및 부침류,195,62.9,10.6,10.5,1.5,14.5,1.3,36.0,195.0,326,96.88,2.1,0.1,0.3,0.0,0.2,0.3,100g,한식
깻잎전,전·적 및 부침류,241,59.8,11.82,17.18,1.49,9.7,0.71,73.0,214.0,320,87.86,3.62,0.1,0.14,0.0,0.0,0.0,150g,한식
녹두빈대떡,전·적 및 부침류,208,59.5,7.94,10.27,1.31,20.93,0.1,21.0,265.0,232,12.48,2.26,0.06,0.07,0.0,0.0,0.0,100g,한식
동태전,전·적 및 부침류,195,64.3,16.48,11.63,1.48,6.11,0.26,31.0,217.0,318,136.73,1.6,0.06,,,,,100g,한식
두부전,전·적 및 부침류,170,69.2,13.64,10.58,1.56,5.0,0.02,169.0,163.0,211,2.19,1.34,0.03,0.02,0.0,0.0,0.0,150g,한식
미나리전,전·적 및 부침류,151,67.8,3.49,5.08,0.79,22.82,1.16,22.0,132.0,166,7.92,0.82,0.04,0.01,0.0,0.0,0.0,150g,한식
배추전,전·적 및 부침류,160,66.2,3.44,5.78,0.9,23.68,3.35,32.0,121.0,218,4.82,0.92,0.05,0.19,0.0,0.0,0.24,150g,한식
버섯전,전·적 및 부침류,160,71.1,7.02,9.91,1.17,10.8,1.83,28.0,256.0,209,66.73,1.53,0.04,0.01,0.0,0.0,0.33,150g,한식
새우전,전·적 및 부침류,188,65.7,9.99,11.33,1.44,11.57,1.87,57.0,144.0,349,131.08,1.95,0.06,,,,,100g,한식
소고기산적,전·적 및 부침류,227,57.1,24.2,12.78,2.29,3.67,0.0,11.0,240.0,696,67.42,3.53,0.44,0.0,0.0,0.0,0.0,200g,한식
소라산적,전·적 및 부침류,150,63.7,22.4,3.14,2.64,8.06,1.06,122.0,228.0,496,125.43,0.47,0.02,0.11,0.0,0.39,0.18,80g,한식
오징어산적,전·적 및 부침류,127,68.9,21.72,2.47,2.38,4.5,1.14,20.0,292.0,596,292.81,0.34,0.0,0.34,0.0,0.03,0.0,80g,한식
파전,전·적 및 부침류,195,61.9,4.56,9.35,0.97,23.2,0.52,31.0,126.0,231,30.76,1.51,0.05,0.11,0.0,0.0,0.01,150g,한식
햄부침,전·적 및 부침류,244,58.0,11.3,17.1,2.3,11.3,1.0,33.0,178.0,716,72.11,4.4,0.1,0.2,0.0,0.4,0.0,100g,한식
호박전,전·적 및 부침류,139,75.2,4.32,8.73,0.99,10.73,1.9,32.0,205.0,185,61.68,1.56,0.04,0.68,0.0,0.01,0.72,150g,한식
홍합산적,전·적 및 부침류,196,55.2,22.23,6.0,3.35,13.22,4.17,62.0,203.0,900,75.89,1.04,0.05,0.55,0.0,0.54,0.73,80g,한식
화양적,전·적 및 부침류,182,64.9,9.05,9.85,1.94,14.23,0.81,140.0,135.0,531,82.17,2.55,0.06,0.11,0.0,0.03,0.01,150g,한식
느타리버섯볶음,볶음류,87,82.5,3.61,4.66,1.57,7.69,3.24,34.0,241.0,453,1.17,0.45,0.02,,,,,100g,한식
닭모래집볶음,볶음류,176,61.8,28.11,5.8,1.51,2.82,2.73,29.0,169.0,364,363.87,1.14,0.02,,,,,100g,한식
돼지고기볶음,볶음류,175,67.1,11.48,10.33,2.0,9.11,4.1,22.0,284.0,526,28.94,2.56,0.08,1.12,0.0,0.13,1.74,200g,한식
두부김치,볶음류,115,77.9,7.79,6.85,1.88,5.63,0.59,99.0,223.0,396,5.57,1.27,0.03,0.27,0.0,0.0,0.15,250g,한식
머위나물볶음,볶음류,72,86.1,2.33,4.67,1.87,5.07,1.2,72.0,179.0,479,0.0,0.53,0.0,0.4,0.0,0.0,0.73,150g,한식
순대볶음,볶음류,146,68.9,5.18,5.33,1.45,19.18,1.35,33.0,140.0,375,35.43,1.28,0.03,0.5,0.03,0.0,0.43,400g,한식
오징어채볶음,볶음류,275,37.4,22.04,7.57,3.21,29.77,20.03,23.0,265.0,975,183.61,1.17,0.05,,,,,100g,한식
잔멸치볶음,볶음류,330,20.1,34.97,8.97,8.53,27.43,14.89,756.0,486.0,2096,85.11,1.59,0.05,,,,,100g,한식
주꾸미볶음,볶음류,106,75.1,9.16,2.6,1.72,11.41,2.53,25.0,159.0,459,100.38,0.3,0.01,0.98,0.0,0.18,1.1,200g,한식
주꾸미삼겹살,볶음류,161,69.0,10.11,8.66,1.59,10.66,5.41,8.0,188.0,280,70.76,2.29,0.03,,,,,100g,한식
해물볶음,볶음류,105,76.5,9.55,3.83,2.05,8.05,1.85,106.0,231.0,439,82.4,0.53,0.03,0.75,0.0,0.08,0.43,400g,한식
가자미조림,조림류,99,75.9,12.37,2.37,2.2,7.17,3.5,76.0,279.0,564,75.99,0.43,0.03,0.87,0.0,0.63,0.9,300g,한식
고추조림,조림류,111,75.8,3.3,4.9,2.7,13.4,7.1,46.0,291.0,779,7.09,0.7,0.0,1.1,0.0,1.7,1.4,100g,한식
동태조림,조림류,110,72.4,16.32,1.88,2.4,6.96,4.08,135.0,307.0,557,87.38,0.44,0.08,0.8,0.0,0.44,0.68,250g,한식
북어조림,조림류,182,55.7,20.83,3.33,2.97,17.14,8.2,155.0,270.0,766,99.63,0.67,0.05,1.12,0.0,1.21,1.35,100g,한식
조기조림,조림류,128,73.6,13.7,6.27,2.5,4.27,1.5,113.0,265.0,590,76.06,1.67,0.03,0.4,0.0,0.1,0.27,300g,한식
고구마맛탕,튀김류,246,44.4,1.65,5.5,1.2,47.3,19.35,33.0,464.0,38,0.0,0.95,0.0,0.8,0.0,6.9,1.65,200g,한식
고구마튀김,튀김류,253,50.5,2.72,11.87,1.13,33.8,7.72,25.0,328.0,148,20.84,1.74,0.05,0.55,0.0,2.43,0.02,100g,한식
고추튀김,튀김류,202,64.1,7.6,12.6,1.2,14.6,2.3,43.0,197.0,249,35.91,2.7,0.1,0.5,0.0,0.4,0.5,100g,한식
김말이튀김,튀김류,195,58.8,2.05,7.2,1.42,30.51,1.88,105.0,77.0,460,0.0,1.04,0.08,,,,,,한식
깐풍새우,튀김류,240,55.5,8.15,13.86,1.92,20.56,7.2,100.0,118.0,531,61.48,2.04,0.1,,,,,100g,한식
닭모래집튀김,튀김류,312,42.9,18.73,17.73,1.2,19.4,1.2,24.0,269.0,215,167.94,2.73,0.13,0.0,0.0,0.27,0.27,150g,한식
닭튀김,튀김류,301,43.6,21.73,16.57,1.8,16.27,0.5,13.0,316.0,415,59.31,4.33,0.13,0.13,0.0,0.3,0.07,300g,한식
돈까스,튀김류,280,50.7,13.85,17.94,1.65,15.89,4.99,34.0,224.0,343,26.48,3.16,0.11,,,,,100g,한식
라조기,튀김류,199,63.5,10.33,11.75,1.28,13.12,0.08,36.0,160.0,324,45.29,2.57,0.08,0.07,0.0,0.01,0.0,200g,한식
멘보샤,튀김류,289,52.7,10.52,21.6,1.94,13.22,1.0,30.0,59.0,696,69.91,3.57,0.14,,,,,100g,한식
미꾸라지튀김,튀김류,387,32.1,10.89,25.39,2.77,28.85,0.3,537.0,173.0,324,50.15,3.89,0.15,0.11,0.0,0.03,0.05,100g,한식
복어튀김,튀김류,320,42.7,13.84,19.27,1.28,22.88,0.6,27.0,165.0,284,30.03,2.95,0.15,,,,,100g,한식
생선까스,튀김류,327,42.6,12.17,20.55,1.45,23.28,0.98,23.0,164.0,394,36.36,3.98,0.12,0.19,0.03,0.09,0.14,200g,한식
양파링튀김,튀김류,411,24.5,3.86,25.23,2.82,43.58,5.43,115.0,167.0,776,0.0,4.19,0.16,,,,,100g,한식
쥐포튀김,튀김류,357,29.3,9.62,16.49,2.13,42.5,7.96,81.0,77.0,717,28.7,2.29,0.1,0.04,0.0,7.92,0.0,100g,한식
치즈볼,튀김류,333,39.7,9.56,20.0,2.04,28.66,5.48,153.0,84.0,532,23.23,7.33,0.48,,,,,100g,한식
치즈스틱,튀김류,329,42.5,12.59,21.85,2.53,20.57,1.84,274.0,92.0,596,22.2,7.53,0.14,,,,,100g,한식
치킨가스,튀김류,296,45.5,13.96,16.96,1.6,22.01,2.08,78.0,197.0,390,36.48,4.21,0.13,0.55,0.0,0.25,0.38,200g,한식
난자완스,튀김류,173,67.5,10.81,10.17,1.25,9.57,0.25,17.0,158.0,352,38.38,2.3,0.12,0.25,0.0,0.0,0.0,200g,한식
깻잎나물볶음,나물·숙채류,103,81.1,3.75,7.2,2.15,5.75,0.3,182.0,176.0,521,0.0,0.85,0.05,0.2,0.0,0.05,0.05,200g,한식
머위나물무침,나물·숙채류,85,86.6,1.62,7.66,1.65,2.49,0.44,53.0,130.0,452,0.0,0.82,0.06,,,,,100g,한식
미나리나물,나물·숙채류,59,88.3,2.03,3.67,1.5,4.48,0.0,78.0,238.0,301,0.0,0.5,0.02,0.0,0.0,0.0,0.0,50g,한식
세발나물무침,나물·숙채류,78,83.2,3.01,4.25,2.53,7.05,3.67,74.0,319.0,701,0.0,0.59,0.12,,,,,100g,한식
우거지나물무침,나물·숙채류,86,83.6,3.0,5.67,1.93,5.8,1.0,130.0,128.0,515,0.87,0.67,0.07,,,,,150g,한식
취나물무침,나물·숙채류,148,76.3,2.75,12.31,1.99,6.61,0.0,149.0,127.0,564,0.0,1.68,0.05,0.0,0.0,0.0,0.0,50g,한식
골뱅이무침,생채·무침류,109,73.4,7.08,1.97,1.82,15.69,10.46,38.0,224.0,526,38.35,0.26,0.02,4.01,0.0,0.5,4.74,100g,한식
노각무침,생채·무침류,56,85.6,1.73,1.2,1.93,9.53,4.73,27.0,263.0,545,0.0,0.13,0.0,1.87,0.0,0.0,2.33,150g,한식
단무지무침,생채·무침류,40,89.6,1.0,1.6,2.4,5.6,1.4,30.0,107.0,858,0.0,0.2,0.0,0.4,0.0,0.2,0.6,50g,한식
더덕무침,생채·무침류,144,63.6,2.87,1.87,2.73,28.93,13.47,40.0,264.0,831,0.11,0.27,0.0,2.33,0.0,1.6,4.2,150g,한식
물회,생채·무침류,76,83.4,4.91,2.7,1.11,7.9,2.86,30.0,160.0,299,17.18,0.4,0.01,0.69,0.0,0.0,1.24,700g,한식
배추 겉절이,생채·무침류,43,88.1,2.18,0.92,2.24,6.51,3.04,57.0,333.0,581,0.39,0.12,0.0,,,,,100g,한식
밴댕이무침,생채·무침류,150,71.3,7.45,8.25,1.5,11.5,6.75,102.0,290.0,257,25.38,1.15,0.05,2.85,0.0,0.0,2.95,400g,한식
상추 겉절이,생채·무침류,64,85.8,2.48,3.26,2.3,6.18,3.71,89.0,379.0,550,6.57,0.36,0.03,,,,,100g,한식
쑥갓나물무침,생채·무침류,64,86.9,3.0,3.8,1.93,4.4,0.2,104.0,256.0,473,0.03,0.47,0.0,0.13,0.0,0.0,0.07,150g,한식
탕평채,생채·무침류,97,79.6,3.55,3.81,0.83,12.26,0.39,19.0,72.0,260,47.24,0.73,0.03,0.14,0.0,0.0,0.0,100g,한식
홍어무침,생채·무침류,99,74.8,8.93,1.32,1.98,12.98,7.23,150.0,276.0,401,28.51,0.18,0.0,2.39,0.0,0.42,3.45,200g,한식
갓김치,김치류,37,86.4,3.26,0.4,2.87,7.07,2.46,103.0,328.0,720,0.0,0.08,0.01,,,,,100g,한식
배추김치,김치류,38,88.9,1.98,0.43,2.21,6.49,2.4,43.0,334.0,551,0.0,0.07,0.0,,,,,100g,한식
백김치,김치류,16,94.5,0.95,0.07,1.48,3.0,1.04,35.0,187.0,395,0.0,0.01,0.01,,,,,100g,한식
열무김치,김치류,36,89.0,2.39,0.38,2.34,5.87,0.68,115.0,353.0,583,0.0,0.06,0.0,,,,,100g,한식
열무물김치,김치류,18,94.1,1.41,0.07,1.51,2.91,1.68,32.0,103.0,493,0.0,0.02,0.0,,,,,100g,한식
열무얼갈이김치,김치류,35,89.5,2.15,0.66,2.43,5.22,0.91,79.0,308.0,680,2.07,0.08,0.0,0.4,0.0,0.0,0.5,50g,한식
오이소박이,김치류,37,89.8,1.76,0.37,1.41,6.66,3.17,29.0,283.0,302,0.0,0.08,0.0,,,,,100g,한식
유채김치,김치류,62,82.4,3.5,0.8,3.2,10.1,,67.0,464.0,926,,0.0,0.0,,,,,100g,한식
유채물김치,김치류,17,94.7,1.0,0.1,1.2,3.0,,37.0,112.0,452,,0.0,0.0,,,,,100g,한식
총각김치,김치류,42,87.6,1.92,0.29,2.31,7.89,3.0,38.0,331.0,630,0.0,0.05,0.0,,,,,100g,한식
파김치,김치류,49,86.0,2.5,0.58,2.41,8.51,2.8,60.0,282.0,655,0.0,0.11,0.0,,,,,100g,한식
고추장아찌,장아찌·절임류,124,59.7,2.39,0.63,5.79,31.49,11.38,16.0,209.0,2026,0.0,0.11,0.0,,,,,100g,한식
들깻잎장아찌,장아찌·절임류,124,63.6,4.03,0.42,5.95,26.0,16.41,178.0,285.0,1809,0.0,0.06,0.0,,,,,100g,한식
마늘장아찌,장아찌·절임류,113,68.8,2.43,0.16,3.25,25.36,15.03,7.0,69.0,1127,0.0,0.04,0.0,,,,,100g,한식
마늘쫑장아찌,장아찌·절임류,118,66.5,1.96,0.14,4.06,27.34,13.02,21.0,105.0,1410,0.0,0.04,0.0,,,,,100g,한식
매실장아찌,장아찌·절임류,243,36.5,1.65,0.43,3.35,58.11,38.16,30.0,232.0,1126,0.0,0.08,0.0,15.93,0.0,0.57,17.73,30g,한식
무장아찌,장아찌·절임류,80,73.3,1.47,0.76,7.7,16.76,9.62,28.0,185.0,2933,0.13,0.04,0.0,2.43,0.0,0.63,2.63,30g,한식
레몬청차,음료 및 차류,60,83.3,0.13,0.01,1.73,14.8,16.33,13.0,23.0,3,0.0,0.0,0.0,,,,,100g,한식
식혜,음료 및 차류,87,80.4,1.53,1.75,0.09,16.21,11.36,6.0,13.0,2,0.0,0.04,0.0,0.46,0.0,9.26,0.12,150g,한식
팝콘,"곡류, 서류 제품",511,4.2,8.3,27.34,2.14,58.06,0.38,5.0,196.0,500,0.49,11.05,0.06,,,,,100g,한식
대구포,수·조·어·육류,141,56.4,31.97,0.4,8.92,2.33,0.0,155.0,387.0,3876,107.15,0.17,0.0,0.0,0.0,0.0,0.0,100g,한식
곤드레밥,밥류,124,13.0,2.2,0.94,,26.8,0.15,7.0,23.0,9,0.0,0.18,,,,,,500ml,한식
누룽지,밥류,87,1.4,1.5,0.06,,19.17,0.24,4.0,19.0,1,0.0,0.02,,,,,,600ml,한식
돌솥 비빔밥,밥류,101,30.7,3.4,1.78,,17.46,1.05,29.0,116.0,93,26.99,0.42,,,,,,575ml,한식
삼각김밥,밥류,185,11.0,4.8,4.4,,30.58,0.24,11.0,82.0,179,3.92,0.67,,,,,,94.50ml,한식
율무밥,밥류,118,4.1,2.2,0.17,,25.56,0.01,2.0,58.0,2,0.0,0.05,,,,,,270ml,한식
주먹밥,밥류,135,4.1,2.3,2.09,,25.52,0.88,10.0,32.0,105,0.0,0.36,,,,,,291ml,한식
짜장밥,밥류,93,45.9,2.85,1.94,,15.58,2.14,11.0,87.0,180,13.49,0.43,,,,,,520ml,한식
참치덮밥,밥류,108,51.4,5.8,2.13,,15.91,2.05,12.0,122.0,341,6.14,0.28,,,,,,580ml,한식
콩나물 국밥,밥류,60,78.1,2.66,0.73,,10.69,0.42,22.0,54.0,58,19.77,0.2,,,,,,830ml,한식
흑미밥,밥류,120,4.3,2.3,0.37,,25.73,0.17,3.0,33.0,1,0.0,0.1,,,,,,300ml,한식
강낭콩밥,밥류,111,6.1,2.2,0.15,,24.21,0.01,4.0,78.0,2,0.0,0.05,,,,,,300ml,한식
검정콩밥,밥류,136,4.7,3.3,0.79,,27.6,0.35,7.0,81.0,1,0.0,0.17,,,,,,250ml,한식
굴 국밥,밥류,63,12.0,1.6,0.32,,12.79,0.46,23.0,46.0,144,0.58,0.07,,,,,,809ml,한식
굴밥,밥류,122,44.5,4.3,1.95,,21.44,0.66,83.0,126.0,126,10.38,0.36,,,,,,500ml,한식
낙지 덮밥,밥류,92,53.6,4.5,1.28,,15.44,1.76,13.0,126.0,187,3.82,0.21,,,,,,900ml,한식
낙지 비빔밥,밥류,88,48.8,4.3,1.31,,14.72,1.25,14.0,107.0,176,9.72,0.24,,,,,,900ml,한식
닭고기 덮밥,밥류,89,20.3,4.3,0.38,,16.36,0.45,4.0,78.0,67,7.95,0.09,,,,,,572ml,한식
돼지머리국밥,밥류,72,11.0,2.1,1.16,,12.55,0.41,4.0,35.0,143,2.93,0.41,,,,,,809ml,한식
모듬 김밥,밥류,113,50.9,4.2,2.75,,17.49,0.7,24.0,91.0,184,25.86,0.69,,,,,,400ml,한식
모듬 초밥,밥류,189,37.4,10.0,3.14,,28.65,2.45,35.0,129.0,394,63.44,0.9,,,,,,245ml,한식
무밥,밥류,177,37.1,3.7,1.06,,36.68,0.79,13.0,141.0,198,0.0,0.21,,,,,,246.20ml,한식
버섯 덮밥,밥류,101,21.7,2.6,1.63,,18.47,0.54,5.0,77.0,63,4.14,0.64,,,,,,572ml,한식
비빔 잡곡밥,밥류,138,17.4,3.6,2.12,,25.66,0.68,21.0,105.0,93,16.33,0.44,,,,,,300ml,한식
소고기 국밥,밥류,66,11.5,2.3,0.56,,12.54,0.41,4.0,46.0,124,2.7,0.2,,,,,,809ml,한식
양송이 덮밥,밥류,93,24.2,1.9,0.65,,19.64,1.27,4.0,117.0,46,0.0,0.12,,,,,,572ml,한식
열무 비빔밥,밥류,84,20.1,2.5,0.51,,16.86,0.61,20.0,89.0,112,1.94,0.17,,,,,,600ml,한식
옥수수밥,밥류,113,5.8,2.1,0.34,,24.39,0.25,2.0,33.0,4,0.0,0.09,,,,,,450ml,한식
완두콩밥,밥류,114,5.6,2.2,0.33,,24.47,0.14,3.0,36.0,1,0.0,0.09,,,,,,250ml,한식
유부 초밥,밥류,199,11.0,5.8,6.92,,27.04,2.2,89.0,52.0,134,0.0,1.11,,,,,,300ml,한식
육회비빔밥,밥류,115,19.9,3.9,2.88,,17.66,0.71,27.0,78.0,77,24.17,0.65,,,,,,700ml,한식
장어 덮밥,밥류,95,13.6,3.5,1.99,,15.04,0.42,12.0,28.0,80,23.52,0.48,,,,,,500ml,한식
장어 초밥,밥류,95,13.6,3.5,1.99,,15.04,0.42,12.0,28.0,80,23.52,0.48,,,,,,500ml,한식
팥밥,밥류,140,5.0,3.2,0.41,,29.53,0.19,5.0,80.0,1,0.0,0.11,,,,,,250ml,한식
해물 덮밥,밥류,78,19.5,3.8,0.39,,14.15,0.69,7.0,77.0,68,26.88,0.1,,,,,,572ml,한식
혼합잡곡밥,밥류,118,4.4,2.3,0.22,,25.63,0.07,3.0,67.0,2,0.0,0.06,,,,,,250ml,한식
계란빵,빵 및 과자류,158,19.3,6.0,1.99,,27.2,1.35,64.0,64.0,193,60.66,0.6,,,,,,150ml,한식
피자,빵 및 과자류,153,38.7,7.8,4.77,,21.07,3.1,45.0,210.0,179,15.53,2.31,,,,,,210ml,한식
호떡,빵 및 과자류,147,2.3,2.7,5.91,,20.14,4.76,5.0,46.0,2,0.0,0.86,,,,,,104ml,한식
감자샐러드 샌드위치,빵 및 과자류,108,34.4,3.1,4.73,,13.39,2.27,12.0,105.0,217,24.2,1.2,,,,,,380ml,한식
소고기 샌드위치,빵 및 과자류,203,37.6,6.9,10.61,,19.7,2.93,21.0,117.0,328,29.83,4.33,,,,,,250ml,한식
토스트(식빵),빵 및 과자류,84,10.1,2.5,1.33,,15.55,2.61,8.0,30.0,140,0.0,0.78,,,,,,230.30ml,한식
트위스터 샌드위치,빵 및 과자류,56,18.7,3.6,2.96,,3.3,0.68,7.0,46.0,124,15.94,0.83,,,,,,380.60ml,한식
파운드케이크,빵 및 과자류,226,12.2,3.5,11.79,,26.67,9.33,35.0,81.0,119,47.29,5.75,,,,,,170ml,한식
햄샌드위치,빵 및 과자류,185,34.3,5.3,10.0,,18.69,3.63,19.0,100.0,321,14.58,3.42,,,,,,207ml,한식
국수,면 및 만두류,56,7.3,2.5,0.96,,8.87,0.29,24.0,32.0,274,10.42,0.2,,,,,,894ml,한식
메밀소바,면 및 만두류,86,39.7,2.49,0.32,,17.96,1.44,7.0,56.0,254,0.0,0.08,,,,,,400ml,한식
비빔막국수,면 및 만두류,104,32.7,3.06,0.86,,21.47,3.82,14.0,112.0,256,1.81,0.17,,,,,,700ml,한식
스파게티,면 및 만두류,138,21.3,4.1,3.95,,21.11,1.42,11.0,148.0,52,4.0,0.97,,,,,,395ml,한식
우동,면 및 만두류,71,56.7,2.14,1.1,,12.76,0.23,14.0,40.0,270,0.72,0.24,,,,,,800ml,한식
잔치국수,면 및 만두류,61,17.5,2.4,0.84,,10.58,0.82,23.0,83.0,272,11.76,0.19,,,,,,800ml,한식
쟁반짜장,면 및 만두류,145,51.4,5.85,2.63,,23.63,2.42,21.0,210.0,321,18.56,0.53,,,,,,900ml,한식
중식우동,면 및 만두류,91,34.0,4.73,0.84,,15.29,0.82,17.0,142.0,202,28.82,0.21,,,,,,960ml,한식
해물칼국수,면 및 만두류,77,65.5,3.09,0.4,,14.64,0.22,19.0,65.0,252,5.06,0.1,,,,,,1100ml,한식
고기만두,면 및 만두류,105,44.4,6.6,2.51,,13.15,0.27,17.0,113.0,322,7.77,0.54,,,,,,315ml,한식
군만두,면 및 만두류,219,49.7,8.5,9.25,,25.22,0.44,59.0,215.0,237,6.66,2.67,,,,,,257.30ml,한식
김치만두,면 및 만두류,130,62.6,8.7,3.3,,15.15,0.81,36.0,214.0,431,8.63,0.67,,,,,,315ml,한식
막국수,면 및 만두류,58,16.1,2.0,0.6,,10.96,0.17,5.0,63.0,226,1.49,0.18,,,,,,732.60ml,한식
만두탕수,면 및 만두류,95,23.1,2.8,4.41,,11.0,1.79,20.0,93.0,322,2.01,1.05,,,,,,450ml,한식
모밀국수,면 및 만두류,86,39.6,2.5,0.32,,17.96,1.44,7.0,58.0,255,0.0,0.08,,,,,,400ml,한식
물냉면,면 및 만두류,96,86.9,3.6,0.71,,18.22,0.42,10.0,97.0,201,11.44,0.21,,,,,,780ml,한식
물만두,면 및 만두류,92,42.6,6.1,2.56,,10.5,0.06,22.0,103.0,102,4.66,0.48,,,,,,350ml,한식
