식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
장어탕,국 및 탕류,67,86.8,4.32,3.91,1.32,3.68,2.66,32.0,146.0,387,33.75,0.63,0.02,1.02,0.0,0.7,0.95,800g,한식
재첩국,국 및 탕류,23,94.0,0.67,0.29,0.47,4.54,0.0,20.0,22.0,126,4.27,0.01,0.0,0.0,0.0,0.0,0.0,350g,한식
조개국,국 및 탕류,16,96.3,1.67,0.89,0.91,0.25,0.18,7.0,43.0,297,4.01,0.05,0.0,0.1,0.0,0.0,0.08,400g,한식
콩나물국,국 및 탕류,6,97.9,0.74,0.09,0.69,0.61,0.16,9.0,37.0,219,0.73,0.03,0.0,0.13,0.0,0.0,0.04,400g,한식
토란국,국 및 탕류,16,95.6,1.0,0.12,0.71,2.61,0.27,8.0,109.0,190,1.12,0.04,0.0,0.12,0.0,0.08,0.07,400g,한식
동태국,국 및 탕류,17,95.2,2.42,0.16,0.84,1.4,0.0,15.0,107.0,224,11.46,0.02,0.0,0.0,0.0,0.0,0.0,400g,한식
갈치찌개,찌개 및 전골류,38,91.0,5.27,1.0,0.75,1.95,0.98,10.0,177.0,91,15.04,0.3,0.0,0.54,0.0,0.08,0.36,250g,한식
감자탕,찌개 및 전골류,71,86.2,6.31,4.06,1.18,2.27,0.0,38.0,98.0,328,38.53,1.16,0.01,0.0,0.0,0.0,0.0,530g,한식
김치전골,찌개 및 전골류,73,85.5,3.12,4.23,1.47,5.68,0.79,21.0,202.0,299,7.43,0.67,0.01,0.49,0.0,0.0,0.31,270g,한식
꽃게탕,찌개 및 전골류,17,95.5,1.86,0.41,0.81,1.44,0.95,23.0,99.0,273,2.61,0.04,0.0,0.45,0.0,0.1,0.4,600g,한식
낙지전골,찌개 및 전골류,51,87.0,6.5,1.14,1.64,3.72,0.0,10.0,165.0,484,51.44,0.33,0.02,0.0,0.0,0.0,0.0,300g,한식
동태찌개,찌개 및 전골류,44,89.6,6.11,1.37,1.24,1.72,0.13,33.0,174.0,273,26.68,0.2,0.01,0.13,0.0,0.0,0.0,200g,한식
돼지고기찌개,찌개 및 전골류,48,88.9,6.25,1.51,1.1,2.26,0.13,16.0,156.0,255,10.95,0.21,0.0,0.05,0.0,0.0,0.08,300g,한식
된장찌개,찌개 및 전골류,46,89.3,3.38,1.63,1.28,4.44,0.0,21.0,151.0,318,0.0,0.27,0.0,0.0,0.0,0.0,0.0,200g,한식
버섯전골,찌개 및 전골류,78,84.6,5.14,4.24,1.18,4.78,1.18,10.0,129.0,146,12.33,0.98,0.11,0.58,0.0,0.13,0.08,300g,한식
부대찌개,찌개 및 전골류,123,76.2,5.86,6.49,1.15,10.27,0.18,20.0,170.0,239,11.05,1.68,0.05,0.04,0.0,0.0,0.0,600g,한식
소고기전골,찌개 및 전골류,63,87.1,7.89,3.24,1.33,0.46,0.05,23.0,176.0,299,16.08,0.69,0.15,0.05,0.0,0.0,0.0,300g,한식
